zip;% russians
44109;1.14
44128;0.04
44125;1.1
44106;1.59
44104;0
44105;0.37
44120;1.52
44103;0.06
44129;0.93
44130;1.18
44118;3.62
44111;0.59
44134;1.05
44113;0.73
44121;4.05
44124;5.59
44144;1.35
43085;1.19
43227;0.16
43232;0.45
43231;0.47
43224;0.18
43202;1.07
43221;1.09
43228;0.36
43214;0.66
43206;0.63
43209;4.38
43203;0
43229;0.29
43207;0.11
43219;0
43215;0.93
43220;0.62
43201;1.14
43230;0.86
43212;0.66
43235;0.98
43222;0.12
43213;0.96
43240;0.95
45230;0.56
45240;0.18
45212;0.15
45219;0.71
45238;0.08
45249;2.54
45229;0.25
45248;0.12
45241;1.3
45247;0.54
45231;0.43
45236;1.91
45232;0.14
45255;0.51
45242;2.09
45227;0.29
45245;0.25
45251;0.05
45202;1.62
45246;0.15
45217;0.43
45209;1.15
46220;0.55
46224;0.09
46260;2.92
46239;0.03
46201;0.06
46229;0.23
46218;0.22
46205;0.13
46234;0.77
46226;0.3
46221;0.16
46208;0.34
46231;0.14
46241;0.34
46217;0.11
46254;0.42
46214;0.2
46219;0.26
46202;0.31
46227;0.06
46237;0.04
46203;0.06
46278;0.32
46268;1.21
46240;0.69
46225;0.17
46250;0.74
46204;0.23
97222;1.68
97203;1.12
97213;1.7
97220;1.75
97206;1.77
97202;1.63
97230;1.33
97239;
97229;1.07
97211;0.58
97267;0.79
97225;1.57
97266;2.33
97210;4.26
97223;0.92
97209;2.01
97224;0.8
97216;1.41
97201;1.63
97214;2.23
97232;1.28
97205;2
97204;3.38